GEO2_MX,absolute_change
484007098,-3444.0
484007099,51.0
484007100,0.0
484007101,0.0
484007102,-753.0
484007103,-84.0
484007104,-70.0
484007105,-766.0
484007106,-3337.0
484007107,0.0
484007108,-13.0
484007109,205.0
484007110,265.0
484008001,0.0
484008002,0.0
484008003,0.0
484008004,0.0
484008005,0.0
484008006,0.0
484008007,0.0
484008008,-244.0
484008009,0.0
484008010,0.0
484008011,0.0
484008012,0.0
484008013,-77.0
484008014,0.0
484008015,281.0
484008016,0.0
484008017,-549.0
484008018,0.0
484008019,163.0
484008020,-1136.0
484008021,-226.0
484008022,0.0
484008023,-131.0
484008024,0.0
484008025,1041.0
484008026,0.0
484008027,0.0
484008028,74.0
484008029,0.0
484008030,1052.0
484008031,267.0
484008032,0.0
484008033,0.0
484008034,0.0
484008035,0.0
484008036,0.0
484008037,313.0
484008038,0.0
484008039,12.0
484008040,0.0
484008041,0.0
484008042,297.0
484008043,-298.0
484008044,0.0
484008045,0.0
484008046,0.0
484008047,37.0
484008048,0.0
484008049,0.0
484008050,0.0
484008051,0.0
484008052,0.0
484008053,0.0
484008054,-51.0
484008055,-75.0
484008056,19.0
484008057,-81.0
484008058,217.0
484008059,0.0
484008060,0.0
484008061,0.0
484008062,-76.0
484008063,0.0
484008064,0.0
484008065,141.0
484009001,-19577.0
484009002,-13382.0
484009003,1716.0
484009004,-523.0
484009005,-2943.0
484009006,277.0
484010001,0.0
484010002,85.0
484010003,626.0
484010004,0.0
484010005,0.0
484010006,0.0
484010007,-1233.0
484010008,-2487.0
484010009,0.0
484010010,0.0
484010011,0.0
484010012,-2454.0
484010013,0.0
484010014,0.0
484010015,-165.0
484010016,-1534.0
484010017,0.0
484010018,0.0
484010019,0.0
484010020,-1508.0
484010021,-275.0
484010022,-858.0
484010023,0.0
484010024,229.0
484010025,0.0
484010026,0.0
484010027,0.0
484010028,-7.0
484010029,11.0
484010030,438.0
484010031,3553.0
484010032,0.0
484010033,825.0
484010034,0.0
484010035,0.0
484010036,0.0
484010037,222.0
484010038,424.0
484011001,-12392.0
484011002,-12769.0
484011003,-20456.0
484011004,-11662.0
484011005,-8641.0
484011006,385.0
484011007,-12672.0
484011008,-9361.0
484011009,-11838.0
484011010,600.0
484011011,-3574.0
484011012,-3701.0
484011013,-3830.0
484011014,-33835.0
484011015,-9162.0
484011016,-5291.0
484011017,-18411.0
484011018,-2323.0
484011019,-20244.0
484011020,-56198.0
484011021,-3233.0
484011022,-3077.0
484011023,-6720.0
484011024,-553.0
484011025,-4514.0
484011026,932.0
484011027,-6354.0
484011028,-4308.0
484011029,-10887.0
484011030,0.0
484011031,-5556.0
484011032,-5965.0
484011033,-18167.0
484011034,1200.0
484011035,-9474.0
484011036,-568.0
484011037,-18120.0
484011038,44.0
484011039,-4676.0
484011040,-2595.0
484011041,4956.0
484011042,-14772.0
484011043,-1704.0
484011044,-883.0
484011045,-2647.0
484011046,36769.0
484012001,-18961.0
484012002,-3004.0
484012003,-1541.0
484012004,-4356.0
484012005,-138.0
484012006,921.0
484012007,-2106.0
484012008,2505.0
484012009,-395.0
484012010,-1465.0
484012011,-4165.0
484012012,-5774.0
484012013,-1439.0
484012014,156.0
484012015,-72.0
484012016,-729.0
484012017,-1331.0
484012018,-332.0
484012019,816.0
484012020,-799.0
484012021,-2570.0
484012022,0.0
484012023,-1615.0
484012024,-92.0
484012025,-242.0
484012026,-595.0
484012027,-2363.0
484012028,-12191.0
484012029,-5134.0
484012030,-1308.0
484012031,-458.0
484012032,55091.0
484012033,11540.0
484012034,1804.0
