GEO2_MX,sum_num_intmig
484015055,28714.0
484015056,1410.0
484015057,7356.0
484015058,168.0
484015059,1001.0
484015060,4247.0
484015061,1230.0
484015062,877.0
484015063,519.0
484015064,946.0
484015065,4385.0
484015066,6526.0
484015067,4140.0
484015068,692.0
484015069,2364.0
484015070,1853.0
484015071,2220.0
484015072,845.0
484015073,804.0
484015074,3659.0
484015075,4505.0
484015076,996.0
484015077,616.0
484015078,4140.0
484015079,5942.0
484015080,1815.0
484015081,174.0
484015082,4882.0
484015083,223.0
484015084,1396.0
484015085,1818.0
484015086,385.0
484015087,1327.0
484015088,3510.0
484015089,2645.0
484015090,453.0
484015091,598.0
484015092,833.0
484015093,10693.0
484015094,3670.0
484015095,10504.0
484015096,1861.0
484015097,539.0
484015098,3638.0
484015099,3051.0
484015100,5639.0
484015101,7337.0
484015102,4486.0
484015103,3331.0
484015104,1477.0
484015105,572.0
484015106,1462.0
484015107,4957.0
484015108,996.0
484015109,139.0
484015110,2145.0
484015111,4464.0
484015112,1070.0
484015113,1457.0
484016001,718.0
484016002,705.0
484016003,3400.0
484016004,2369.0
484016005,1159.0
484016006,4980.0
484016007,2553.0
484016009,761.0
484016011,33773.0
484016012,1629.0
484016013,416.0
484016014,625.0
484016015,5544.0
484016016,3859.0
484016017,2578.0
484016018,1573.0
484016019,1871.0
484016020,3534.0
484016021,247.0
484016022,1092.0
484016023,1420.0
484016024,604.0
484016025,953.0
484016026,60754.0
484016027,822.0
484016028,722.0
484016029,1209.0
484016030,2403.0
484016031,1661.0
484016032,1290.0
484016033,2964.0
484016034,121.0
484016035,819.0
484016036,1301.0
484016037,455.0
484016038,569.0
484016039,11247.0
484016040,1376.0
484016041,1266.0
484016042,1775.0
484016043,265.0
484016044,1615.0
484016045,752.0
484016046,2685.0
484016047,467.0
484016048,1001.0
484016049,2195.0
484016051,8703.0
484016052,375.0
484016053,3243.0
484016054,254.0
484016055,3882.0
484016056,447.0
484016057,600.0
484016058,3181.0
484016059,1092.0
484016060,2972.0
484016061,3269.0
484016062,1539.0
484016063,4375.0
484016064,5609.0
484016065,1035.0
484016066,354.0
484016067,8454.0
484016068,871.0
484016069,2471.0
484016070,1464.0
484016071,2235.0
484016072,1020.0
484016073,3896.0
484016074,637.0
484016075,1577.0
484016076,1950.0
484016077,858.0
484016078,452.0
484016079,3439.0
484016080,748.0
484016081,1114.0
